Source,Target
Gas storage operations (carbon capture and natural gas storage),Smothering and siltation rate changes (Light)
Gas storage operations (carbon capture and natural gas storage),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Gas storage operations (carbon capture and natural gas storage),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Gas storage operations (carbon capture and natural gas storage),Underwater noise changes
Gas storage operations (carbon capture and natural gas storage),Vibration
Gas storage operations (carbon capture and natural gas storage),Visual disturbance
Line fishing,Above water noise
Line fishing,Abrasion/disturbance of the substrate on the surface of the seabed
Line fishing,Barrier to species movement
Line fishing,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Line fishing,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Line fishing,Deoxygenation
Line fishing,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Line fishing,Introduction of light
Line fishing,Introduction or spread of invasive non-indigenous species (INIS)
Line fishing,Litter
Line fishing,Organic enrichment
Line fishing,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Line fishing,Removal of non-target species
Line fishing,Removal of target species
Line fishing,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Line fishing,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Line fishing,Underwater noise changes
Line fishing,Visual disturbance
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Above water noise
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Abrasion/disturbance of the substrate on the surface of the seabed
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Changes in suspended solids (water clarity)
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Habitat structure changes - removal of substratum (extraction)
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Introduction of light
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Introduction or spread of invasive non-indigenous species (INIS)
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Litter
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Smothering and siltation rate changes (Light)
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Underwater noise changes
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Visual disturbance
Physical Sampling (see also fishing and Extraction of genetic resources e.g. bioprospecting),Wave exposure changes
Set (fixed) net fishing,Above water noise
Set (fixed) net fishing,Abrasion/disturbance of the substrate on the surface of the seabed
Set (fixed) net fishing,Barrier to species movement
Set (fixed) net fishing,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Set (fixed) net fishing,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Set (fixed) net fishing,Deoxygenation
Set (fixed) net fishing,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Set (fixed) net fishing,Introduction of light
Set (fixed) net fishing,Introduction or spread of invasive non-indigenous species (INIS)
Set (fixed) net fishing,Litter
Set (fixed) net fishing,Organic enrichment
Set (fixed) net fishing,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Set (fixed) net fishing,Removal of non-target species
Set (fixed) net fishing,Removal of target species
Set (fixed) net fishing,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Set (fixed) net fishing,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Set (fixed) net fishing,Underwater noise changes
Set (fixed) net fishing,Visual disturbance
Sonar,Barrier to species movement
Sonar,Underwater noise changes
Dredge and spoil disposal,Above water noise
Dredge and spoil disposal,Abrasion/disturbance of the substrate on the surface of the seabed
Dredge and spoil disposal,Barrier to species movement
Dredge and spoil disposal,Changes in suspended solids (water clarity)
Dredge and spoil disposal,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Dredge and spoil disposal,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Dredge and spoil disposal,Deoxygenation
Dredge and spoil disposal,Genetic modification & translocation of indigenous species
Dredge and spoil disposal,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Dredge and spoil disposal,Introduction of light
Dredge and spoil disposal,"Introduction of other substances (solid, liquid or gas)"
Dredge and spoil disposal,Introduction or spread of invasive non-indigenous species (INIS)
Dredge and spoil disposal,Nutrient enrichment
Dredge and spoil disposal,Physical change (to another seabed type)
Dredge and spoil disposal,Physical change (to another sediment type)
Dredge and spoil disposal,Radionuclide contamination
Dredge and spoil disposal,Smothering and siltation rate changes (Heavy)
Dredge and spoil disposal,Smothering and siltation rate changes (Light)
Dredge and spoil disposal,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Dredge and spoil disposal,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Dredge and spoil disposal,Underwater noise changes
Dredge and spoil disposal,Visual disturbance
Oil and gas infrastructure: Construction (see also piling and pipelines),Above water noise
Oil and gas infrastructure: Construction (see also piling and pipelines),Abrasion/disturbance of the substrate on the surface of the seabed
Oil and gas infrastructure: Construction (see also piling and pipelines),Barrier to species movement
Oil and gas infrastructure: Construction (see also piling and pipelines),Changes in suspended solids (water clarity)
Oil and gas infrastructure: Construction (see also piling and pipelines),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil and gas infrastructure: Construction (see also piling and pipelines),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil and gas infrastructure: Construction (see also piling and pipelines),Electromagnetic changes
Oil and gas infrastructure: Construction (see also piling and pipelines),Habitat structure changes - removal of substratum (extraction)
Oil and gas infrastructure: Construction (see also piling and pipelines),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil and gas infrastructure: Construction (see also piling and pipelines),Introduction of light
Oil and gas infrastructure: Construction (see also piling and pipelines),"Introduction of other substances (solid, liquid or gas)"
Oil and gas infrastructure: Construction (see also piling and pipelines),Introduction or spread of invasive non-indigenous species (INIS)
Oil and gas infrastructure: Construction (see also piling and pipelines),Litter
Oil and gas infrastructure: Construction (see also piling and pipelines),"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Oil and gas infrastructure: Construction (see also piling and pipelines),Physical change (to another seabed type)
Oil and gas infrastructure: Construction (see also piling and pipelines),Physical change (to another sediment type)
Oil and gas infrastructure: Construction (see also piling and pipelines),Radionuclide contamination
Oil and gas infrastructure: Construction (see also piling and pipelines),Smothering and siltation rate changes (Light)
Oil and gas infrastructure: Construction (see also piling and pipelines),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil and gas infrastructure: Construction (see also piling and pipelines),Underwater noise changes
Oil and gas infrastructure: Construction (see also piling and pipelines),Vibration
Oil and gas infrastructure: Construction (see also piling and pipelines),Visual disturbance
Oil and gas infrastructure: Operation and maintenance,Above water noise
Oil and gas infrastructure: Operation and maintenance,Abrasion/disturbance of the substrate on the surface of the seabed
Oil and gas infrastructure: Operation and maintenance,Barrier to species movement
Oil and gas infrastructure: Operation and maintenance,Changes in suspended solids (water clarity)
Oil and gas infrastructure: Operation and maintenance,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil and gas infrastructure: Operation and maintenance,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil and gas infrastructure: Operation and maintenance,Electromagnetic changes
Oil and gas infrastructure: Operation and maintenance,Habitat structure changes - removal of substratum (extraction)
Oil and gas infrastructure: Operation and maintenance,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil and gas infrastructure: Operation and maintenance,Introduction of light
Oil and gas infrastructure: Operation and maintenance,"Introduction of other substances (solid, liquid or gas)"
Oil and gas infrastructure: Operation and maintenance,Introduction or spread of invasive non-indigenous species (INIS)
Oil and gas infrastructure: Operation and maintenance,Litter
Oil and gas infrastructure: Operation and maintenance,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Oil and gas infrastructure: Operation and maintenance,Physical change (to another seabed type)
Oil and gas infrastructure: Operation and maintenance,Physical change (to another sediment type)
Oil and gas infrastructure: Operation and maintenance,Radionuclide contamination
Oil and gas infrastructure: Operation and maintenance,Smothering and siltation rate changes (Light)
Oil and gas infrastructure: Operation and maintenance,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil and gas infrastructure: Operation and maintenance,Underwater noise changes
Oil and gas infrastructure: Operation and maintenance,Vibration
Oil and gas infrastructure: Operation and maintenance,Visual disturbance
Oil spills including oil spill response,Above water noise
Oil spills including oil spill response,Abrasion/disturbance of the substrate on the surface of the seabed
Oil spills including oil spill response,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil spills including oil spill response,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Oil spills including oil spill response,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil spills including oil spill response,Introduction of light
Oil spills including oil spill response,"Introduction of other substances (solid, liquid or gas)"
Oil spills including oil spill response,Introduction or spread of invasive non-indigenous species (INIS)
Oil spills including oil spill response,Litter
Oil spills including oil spill response,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Oil spills including oil spill response,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Oil spills including oil spill response,Underwater noise changes
Oil spills including oil spill response,Vibration
Oil spills including oil spill response,Visual disturbance
Purse Seining,Above water noise
Purse Seining,Barrier to species movement
Purse Seining,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Purse Seining,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Purse Seining,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Purse Seining,Introduction of light
Purse Seining,Introduction or spread of invasive non-indigenous species (INIS)
Purse Seining,Litter
Purse Seining,Removal of non-target species
Purse Seining,Removal of target species
Purse Seining,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Purse Seining,Underwater noise changes
Purse Seining,Visual disturbance
Aquaculture predator control,Barrier to species movement
Aquaculture predator control,Removal of non-target species
Aquaculture predator control,Underwater noise changes
Aquaculture predator control,Visual disturbance
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Abrasion/disturbance of the substrate on the surface of the seabed
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Introduction of light
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Introduction or spread of invasive non-indigenous species (INIS)
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Removal of target species
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Underwater noise changes
Extraction of genetic resources e.g. bioprospecting (also see other related activities in fishing and dredging),Visual disturbance
Marine archaeological research,Above water noise
Marine archaeological research,Abrasion/disturbance of the substrate on the surface of the seabed
Marine archaeological research,Changes in suspended solids (water clarity)
Marine archaeological research,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Marine archaeological research,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Marine archaeological research,Deoxygenation
Marine archaeological research,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Marine archaeological research,Introduction of light
Marine archaeological research,Introduction or spread of invasive non-indigenous species (INIS)
Marine archaeological research,Litter
Marine archaeological research,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Marine archaeological research,Smothering and siltation rate changes (Light)
Marine archaeological research,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Marine archaeological research,Underwater noise changes
Marine archaeological research,Visual disturbance
Remote sensing,Above water noise
Remote sensing,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Remote sensing,Visual disturbance
Seismic Surveys,Above water noise
Seismic Surveys,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Seismic Surveys,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Seismic Surveys,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Seismic Surveys,Introduction of light
Seismic Surveys,"Introduction of other substances (solid, liquid or gas)"
Seismic Surveys,Introduction or spread of invasive non-indigenous species (INIS)
Seismic Surveys,Litter
Seismic Surveys,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Seismic Surveys,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Seismic Surveys,Underwater noise changes
Seismic Surveys,Visual disturbance
Exploratory drilling,Above water noise
Exploratory drilling,Abrasion/disturbance of the substrate on the surface of the seabed
Exploratory drilling,Changes in suspended solids (water clarity)
Exploratory drilling,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Exploratory drilling,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Exploratory drilling,Habitat structure changes - removal of substratum (extraction)
Exploratory drilling,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Exploratory drilling,Introduction of light
Exploratory drilling,"Introduction of other substances (solid, liquid or gas)"
Exploratory drilling,Introduction or spread of invasive non-indigenous species (INIS)
Exploratory drilling,Litter
Exploratory drilling,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Exploratory drilling,Physical change (to another seabed type)
Exploratory drilling,Physical change (to another sediment type)
Exploratory drilling,Radionuclide contamination
Exploratory drilling,Smothering and siltation rate changes (Light)
Exploratory drilling,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Exploratory drilling,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Exploratory drilling,Underwater noise changes
Exploratory drilling,Vibration
Exploratory drilling,Visual disturbance
Seismic Surveys,Above water noise
Seismic Surveys,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Seismic Surveys,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Seismic Surveys,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Seismic Surveys,Introduction of light
Seismic Surveys,"Introduction of other substances (solid, liquid or gas)"
Seismic Surveys,Introduction or spread of invasive non-indigenous species (INIS)
Seismic Surveys,Litter
Seismic Surveys,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Seismic Surveys,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Seismic Surveys,Underwater noise changes
Seismic Surveys,Visual disturbance
Aggregate dredging,Visual disturbance
Aggregate dredging,Introduction or spread of invasive non-indigenous species (INIS)
Aggregate dredging,Removal of non-target species
Aggregate dredging,Habitat structure changes - removal of substratum (extraction)
Aggregate dredging,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Aggregate dredging,Changes in suspended solids (water clarity)
Aggregate dredging,Smothering and siltation rate changes (Heavy)
Aggregate dredging,Smothering and siltation rate changes (Light)
Aggregate dredging,Abrasion/disturbance of the substrate on the surface of the seabed
Aggregate dredging,"Water flow (tidal current) changes, including sediment transport considerations"
Aggregate dredging,"Emergence regime changes, including tidal level change considerations"
Aggregate dredging,Wave exposure changes
Aggregate dredging,Physical change (to another seabed type)
Aggregate dredging,Physical change (to another sediment type)
Aggregate dredging,Litter
Aggregate dredging,Underwater noise changes
Aggregate dredging,Introduction of light
Aggregate dredging,Barrier to species movement
Aggregate dredging,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Aggregate dredging,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Aggregate dredging,Above water noise
Aggregate dredging,Vibration
Aggregate dredging,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Aggregate dredging,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Aggregate dredging,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Demersal trawling,Removal of target species
Traps,Litter
Pelagic fishing (or fishing activities that do not interact with sea bed),Removal of target species
Traps,Visual disturbance
Traps,Introduction or spread of invasive non-indigenous species (INIS)
Traps,Removal of target species
Traps,Removal of non-target species
Traps,"Penetration and/or disturbance of the substrate below the surface of the seabed, including abrasion"
Traps,Abrasion/disturbance of the substrate on the surface of the seabed
Traps,Underwater noise changes
Traps,Introduction of light
Traps,Barrier to species movement
Traps,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Traps,"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Traps,Above water noise
Traps,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Traps,Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Traps,"Synthetic compound contamination (incl. pesticides, antifoulants, pharmaceuticals).  Includes those priority substances listed in Annex II of Directive 2008/105/EC."
Traps,Organic enrichment
Traps,Deoxygenation
Pelagic fishing (or fishing activities that do not interact with sea bed),Visual disturbance
Pelagic fishing (or fishing activities that do not interact with sea bed),Introduction or spread of invasive non-indigenous species (INIS)
Pelagic fishing (or fishing activities that do not interact with sea bed),Removal of non-target species
Pelagic fishing (or fishing activities that do not interact with sea bed),Litter
Pelagic fishing (or fishing activities that do not interact with sea bed),Underwater noise changes
Pelagic fishing (or fishing activities that do not interact with sea bed),Introduction of light
Pelagic fishing (or fishing activities that do not interact with sea bed),Barrier to species movement
Demersal trawling,Removal of non-target species
Pelagic fishing (or fishing activities that do not interact with sea bed),"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pelagic fishing (or fishing activities that do not interact with sea bed),"Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)"
Pelagic fishing (or fishing activities that do not interact with sea bed),Above water noise
Pelagic fishing (or fishing activities that do not interact with sea bed),Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Pelagic fishing (or fishing activities that do not interact with sea bed),Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
Demersal seine netting,Transition elements & organo-metal (e.g. TBT) contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.
